월,사업부,지역,채널,제품카테고리,고객세그먼트,노출수,클릭율,클릭수,세션수,전환율,주문수,판매단위수,평균단가,매출액,매출원가,매출총이익,마케팅비용,운영비용,영업이익,객단가,반품율,반품금액,이탈율,NPS,CSAT,재고수량,리드타임_일,주문이행율,정시배송율,지원티켓수,평균해결시간_시간,SLA위반건수
2024-08,Retail,Seoul,Direct,A-Standard,Mass,11707,0.02055,240,308,0.02602,8,13,28923.65,376007.48,254520.07,121487.42,109214.15,2228950.1,-2216676.83,47000.94,0.0565,21259.22,0.0319,65,4.48,630,5.5,0.9507,0.8795,4,35.0,0
2024-08,Retail,Seoul,Direct,A-Standard,Affinity,13809,0.02744,378,434,0.02469,10,12,28592.79,343113.54,222724.09,120389.45,142126.33,403820.41,-425557.29,34311.35,0.0284,9748.74,0.0461,39,4.58,813,7.2,1.0,0.891,8,38.0,0
2024-08,Retail,Seoul,Direct,A-Standard,VIP,11611,0.01761,204,224,0.02777,6,9,28528.16,256753.4,180155.51,76597.89,101103.18,1024525.82,-1049031.11,42792.23,0.0275,7048.35,0.0407,35,5.0,294,7.7,0.9916,0.9015,23,19.1,0
2024-08,Retail,Seoul,Direct,B-Pro,Mass,9925,0.03404,337,373,0.02028,7,10,45371.79,453717.95,309343.59,144374.36,119843.46,2454615.46,-2430084.56,64816.85,0.0396,17983.95,0.0387,49,3.41,401,2.0,0.9705,0.9638,23,19.4,1
2024-08,Retail,Seoul,Direct,B-Pro,Affinity,16199,0.03503,567,714,0.04394,31,37,45139.05,1670144.91,1044109.33,626035.57,254130.8,1204923.3,-833018.52,53875.64,0.0279,46571.84,0.0422,49,4.34,131,8.5,1.0,0.9047,21,27.5,2
2024-08,Retail,Seoul,Direct,B-Pro,VIP,13503,0.01869,252,274,0.02565,7,8,45844.14,366753.11,249117.24,117635.87,99722.4,2031697.52,-2013784.06,52393.3,0.0475,17411.68,0.0351,38,3.89,567,11.1,1.0,0.9428,16,17.3,1
2024-08,Retail,Seoul,Direct,C-Ultra,Mass,12385,0.0304,376,408,0.02615,10,9,71793.02,646137.15,363321.17,282815.97,237065.9,609756.82,-564006.74,64613.71,0.0336,21711.73,0.0355,45,3.9,741,9.2,0.9356,0.9246,16,28.2,0
2024-08,Retail,Seoul,Direct,C-Ultra,Affinity,10088,0.01832,184,218,0.02171,4,4,69391.27,277565.1,167423.05,110142.04,103813.34,849281.04,-842952.33,69391.27,0.0451,12529.06,0.0331,43,4.2,621,5.3,0.9195,0.9907,5,41.1,0
2024-08,Retail,Seoul,Direct,C-Ultra,VIP,10354,0.01657,171,194,0.02804,5,9,73285.75,659571.77,408867.6,250704.16,117344.03,181169.47,-47809.33,131914.35,0.0537,35447.47,0.0298,48,4.03,44,5.1,1.0,0.9141,5,23.4,0
2024-08,Retail,Seoul,Direct,D-Home,Mass,13266,0.03749,497,612,0.03056,18,28,52654.98,1474339.41,948545.17,525794.24,219552.69,1384220.98,-1077979.44,81907.75,0.0485,71453.11,0.0385,53,4.05,638,5.0,0.9254,0.932,13,32.0,0
2024-08,Retail,Seoul,Direct,D-Home,Affinity,14130,0.01506,212,253,0.02288,5,3,54075.73,162227.2,106128.8,56098.4,108407.78,2357323.42,-2409632.8,32445.44,0.0362,5868.73,0.0311,30,4.69,1006,11.3,0.955,0.9655,14,25.4,0
2024-08,Retail,Seoul,Direct,D-Home,VIP,12624,0.03171,400,453,0.03469,15,18,54766.37,985794.67,634615.36,351179.3,122579.81,1506791.36,-1278191.87,65719.64,0.0218,21490.83,0.0347,52,4.62,570,3.8,0.9405,0.852,14,39.1,0
2024-08,Retail,Seoul,Direct,E-Office,Mass,12877,0.02661,342,436,0.02739,11,22,58921.89,1296281.55,812741.49,483540.06,138226.0,1844177.5,-1498863.43,117843.78,0.021,27256.19,0.0442,73,4.28,472,10.9,0.8744,0.9225,17,22.1,0
2024-08,Retail,Seoul,Direct,E-Office,Affinity,11411,0.03426,390,510,0.02327,11,11,58955.94,648515.29,418073.87,230441.42,117487.2,1718173.18,-1605218.96,58955.94,0.0352,22840.48,0.0253,28,4.04,707,4.9,0.9217,0.9312,17,32.7,1
2024-08,Retail,Seoul,Direct,E-Office,VIP,14008,0.01898,265,295,0.02851,8,4,59685.1,238740.4,152729.06,86011.35,168358.49,405020.72,-487367.86,29842.55,0.0317,7573.16,0.0245,29,4.63,466,7.6,1.0,0.9457,27,28.5,3
2024-08,Retail,Seoul,Direct,F-Outdoor,Mass,10519,0.02541,267,294,0.02955,8,10,63350.48,633504.83,363953.16,269551.67,131732.95,81165.95,56652.77,79188.1,0.0073,4618.93,0.0288,31,4.6,513,7.0,0.8889,0.9352,11,24.5,1
2024-08,Retail,Seoul,Direct,F-Outdoor,Affinity,15596,0.03753,585,764,0.02568,19,31,63188.88,1958855.39,1213649.12,745206.27,251727.43,1279443.05,-785964.21,103097.65,0.0327,64015.39,0.0322,42,4.38,384,10.6,0.9587,0.9724,17,19.6,1
2024-08,Retail,Seoul,Direct,F-Outdoor,VIP,15864,0.03058,485,514,0.03263,16,26,63097.87,1640544.65,1012479.41,628065.23,225498.36,1778098.55,-1375531.67,102534.04,0.0301,49302.24,0.0242,50,4.21,1003,8.8,0.9928,0.9235,15,16.7,0
2024-08,Retail,Seoul,Partner,A-Standard,Mass,15210,0.02584,393,429,0.0268,11,14,30790.97,431073.53,286501.33,144572.2,122036.15,2036722.29,-2014186.25,39188.5,0.0239,10301.34,0.0535,49,4.26,1098,3.5,0.939,0.8552,14,17.5,0
2024-08,Retail,Seoul,Partner,A-Standard,Affinity,12029,0.03182,382,470,0.02344,11,12,28709.08,344508.95,237006.78,107502.17,191591.82,714027.01,-798116.65,31319.0,0.0204,7022.58,0.0213,21,4.16,427,10.3,0.9816,0.9683,20,36.6,2
2024-08,Retail,Seoul,Partner,A-Standard,VIP,12769,0.02501,319,343,0.02515,8,11,29346.65,322813.11,223391.55,99421.56,149399.38,2425482.25,-2475460.08,40351.64,0.0157,5059.17,0.0403,45,3.76,541,9.5,0.962,0.94,11,32.5,0
2024-08,Retail,Seoul,Partner,B-Pro,Mass,10988,0.02687,295,364,0.03179,11,8,46150.84,369206.74,236684.34,132522.4,151835.75,388668.5,-407981.85,33564.25,0.0283,10440.29,0.0279,38,4.1,364,5.6,0.9443,0.9631,3,23.3,1
2024-08,Retail,Seoul,Partner,B-Pro,Affinity,10921,0.01965,214,262,0.02501,6,11,45273.54,498008.93,338456.26,159552.67,141775.21,937749.44,-919971.98,83001.49,0.051,25409.09,0.0289,56,4.54,147,10.4,0.9837,0.9278,16,28.5,3
2024-08,Retail,Seoul,Partner,B-Pro,VIP,10579,0.01798,190,249,0.03099,7,8,43196.35,345570.79,227915.41,117655.39,63460.57,461513.1,-407318.28,49367.26,0.0173,5973.31,0.0234,40,4.25,209,5.5,0.998,0.9411,9,22.2,1
2024-08,Retail,Seoul,Partner,C-Ultra,Mass,13312,0.03075,409,466,0.02561,11,12,72040.59,864487.04,511176.31,353310.73,219939.36,1641246.84,-1507875.47,78589.73,0.0235,20312.39,0.0503,36,4.27,405,9.2,0.9267,0.8758,8,39.7,1
2024-08,Retail,Seoul,Partner,C-Ultra,Affinity,12202,0.01706,208,224,0.02207,4,4,72795.84,291183.36,169503.44,121679.92,88119.58,936203.81,-902643.47,72795.84,0.0345,10053.7,0.0288,46,3.73,685,11.1,0.9366,0.8688,6,27.7,0
2024-08,Retail,Seoul,Partner,C-Ultra,VIP,10962,0.03689,404,495,0.01734,8,11,67091.65,738008.18,467106.95,270901.23,136155.2,2508662.98,-2373916.95,92251.02,0.0089,6538.27,0.0269,23,4.77,537,8.9,0.9617,0.9373,8,31.4,0
2024-08,Retail,Seoul,Partner,D-Home,Mass,12937,0.02113,273,299,0.01251,3,4,56548.42,226193.67,139880.52,86313.15,142179.6,2826399.34,-2882265.78,75397.89,0.0201,4547.69,0.0468,62,4.02,208,5.3,0.9536,0.9367,16,23.9,4
2024-08,Retail,Seoul,Partner,D-Home,Affinity,9884,0.02043,201,238,0.03281,7,7,56181.09,393267.6,244444.59,148823.01,102853.14,2702621.36,-2656651.49,56181.09,0.0549,21583.67,0.0458,29,4.0,678,7.4,0.9826,0.9558,11,34.1,2
2024-08,Retail,Seoul,Partner,D-Home,VIP,10522,0.02317,243,290,0.03049,8,10,52649.8,526498.02,344886.34,181611.68,93090.15,1091142.17,-1002620.64,65812.25,0.0349,18375.04,0.0388,36,4.24,327,7.3,0.9509,0.8967,9,14.1,0
2024-08,Retail,Seoul,Partner,E-Office,Mass,10475,0.02775,290,367,0.02322,8,14,57269.62,801774.64,476521.62,325253.01,120789.85,1355951.51,-1151488.34,100221.83,0.0201,16117.77,0.0078,44,4.21,253,9.3,0.9287,0.9535,2,25.4,0
2024-08,Retail,Seoul,Partner,E-Office,Affinity,12329,0.03302,407,500,0.02391,11,16,62868.03,1005888.53,611121.41,394767.12,190363.89,172913.94,31489.29,91444.41,0.0275,27633.25,0.0391,38,4.34,551,7.2,0.9781,0.9415,0,40.0,0
2024-08,Retail,Seoul,Partner,E-Office,VIP,11931,0.005,59,67,0.03599,2,2,61643.45,123286.89,76186.95,47099.94,36506.57,2344570.12,-2333976.74,61643.45,0.043,5302.23,0.0347,62,4.47,1207,9.5,0.9931,0.9865,6,34.6,2
2024-08,Retail,Seoul,Partner,F-Outdoor,Mass,8522,0.02283,194,213,0.02146,4,2,65927.8,131855.61,76913.88,54941.72,52388.68,811636.62,-809083.58,32963.9,0.0457,6019.96,0.0416,40,4.36,449,5.5,0.9122,0.9568,14,11.9,1
2024-08,Retail,Seoul,Partner,F-Outdoor,Affinity,10555,0.0175,184,199,0.0269,5,5,62284.11,311420.55,189899.92,121520.64,86457.84,2422293.58,-2387230.78,62284.11,0.0444,13829.73,0.0241,55,4.38,376,6.2,0.9713,0.9728,18,19.9,3
2024-08,Retail,Seoul,Partner,F-Outdoor,VIP,10847,0.03621,392,478,0.02551,12,12,67617.82,811413.82,511652.66,299761.17,144981.29,975967.41,-821187.53,67617.82,0.0453,36754.04,0.0168,42,4.88,465,3.7,0.9519,0.9248,15,32.2,3
2024-08,Retail,Seoul,Marketplace,A-Standard,Mass,21884,0.02969,649,829,0.03216,26,32,29133.76,932280.4,619456.76,312823.64,178813.65,1351299.79,-1217289.8,35856.94,0.0356,33171.68,0.0234,35,3.51,237,7.9,0.9799,0.9853,4,39.2,1
2024-08,Retail,Seoul,Marketplace,A-Standard,Affinity,17681,0.01924,340,429,0.03134,13,17,31101.38,528723.51,367237.84,161485.68,163946.61,2470952.38,-2473413.32,40671.04,0.0779,41161.38,0.0145,30,3.93,429,5.5,0.9553,0.8721,6,19.9,0
2024-08,Retail,Seoul,Marketplace,A-Standard,VIP,18026,0.0367,661,703,0.02421,17,28,28975.92,811325.8,558491.41,252834.39,278067.48,3054585.37,-3079818.46,47725.05,0.0261,21153.07,0.01,19,4.87,940,4.8,0.9365,0.942,9,32.8,0
2024-08,Retail,Seoul,Marketplace,B-Pro,Mass,15118,0.01688,255,308,0.03117,9,8,44973.88,359791.01,222218.42,137572.58,186970.51,1425071.49,-1474469.41,39976.78,0.0335,12039.83,0.0387,52,3.98,549,6.3,0.9737,1.0,16,22.2,0
2024-08,Retail,Seoul,Marketplace,B-Pro,Affinity,13822,0.02025,279,302,0.02875,8,8,46984.65,375877.23,249999.94,125877.29,123652.44,1320876.95,-1318652.11,46984.65,0.0604,22700.23,0.0389,35,3.96,830,6.4,0.9374,0.8871,23,39.4,0
2024-08,Retail,Seoul,Marketplace,B-Pro,VIP,18382,0.02107,387,424,0.03202,13,22,43952.22,966948.94,609781.87,357167.07,144173.41,2540413.36,-2327419.7,74380.69,0.0385,37255.31,0.0091,43,5.0,618,5.0,0.9504,0.8564,9,38.6,3
2024-08,Retail,Seoul,Marketplace,C-Ultra,Mass,17311,0.02022,350,380,0.02797,10,13,72901.51,947719.59,604256.81,343462.78,135080.57,2753859.04,-2545476.83,94771.96,0.0532,50377.28,0.0369,44,3.77,422,8.0,0.9408,0.931,19,40.4,2
2024-08,Retail,Seoul,Marketplace,C-Ultra,Affinity,17129,0.01887,323,405,0.0296,11,14,70656.14,989185.9,573281.04,415904.86,151766.48,1567734.71,-1303596.33,89925.99,0.0533,52683.99,0.0317,49,4.03,876,5.7,0.948,0.9233,13,34.3,1
2024-08,Retail,Seoul,Marketplace,C-Ultra,VIP,15923,0.03112,495,593,0.03336,19,27,71089.44,1919414.88,1090377.23,829037.66,151470.74,1639670.37,-962103.46,101021.84,0.0136,26071.63,0.0175,25,4.26,350,5.0,0.916,0.9428,19,23.4,0
2024-08,Retail,Seoul,Marketplace,D-Home,Mass,16218,0.0307,497,562,0.02268,12,15,56693.47,850402.03,571639.64,278762.39,137683.6,1283064.06,-1141985.27,70866.84,0.048,40825.34,0.0359,12,4.14,929,4.8,0.9621,0.9833,27,26.6,1
2024-08,Retail,Seoul,Marketplace,D-Home,Affinity,14202,0.03126,443,504,0.03061,15,9,56297.34,506676.07,330921.07,175755.0,190296.97,1369215.09,-1383757.06,33778.4,0.0383,19422.11,0.024,61,3.89,638,7.7,0.9622,0.9225,16,30.9,3
2024-08,Retail,Seoul,Marketplace,D-Home,VIP,15913,0.02237,355,425,0.03004,12,10,55141.21,551412.13,336584.09,214828.04,149444.5,1279438.81,-1214055.27,45951.01,0.0474,26134.0,0.0407,52,4.34,496,5.1,0.911,0.9454,11,34.3,0
2024-08,Retail,Seoul,Marketplace,E-Office,Mass,17036,0.02146,365,461,0.01674,7,9,61358.04,552222.38,360322.54,191899.83,121599.21,2465548.08,-2395247.45,78888.91,0.0249,13725.14,0.0397,36,3.8,748,8.1,0.9608,0.852,10,40.4,0
2024-08,Retail,Seoul,Marketplace,E-Office,Affinity,14848,0.02864,425,476,0.02683,12,21,58583.2,1230247.22,722045.83,508201.39,130171.16,929618.06,-551587.82,102520.6,0.0074,9160.23,0.0331,60,3.99,313,7.7,0.9471,0.8775,20,35.7,0
2024-08,Retail,Seoul,Marketplace,E-Office,VIP,19885,0.01788,355,377,0.02864,10,14,60911.03,852754.37,532053.97,320700.39,195122.15,872108.6,-746530.35,85275.44,0.0349,29745.84,0.0191,36,4.78,390,10.3,0.9222,0.9053,14,12.0,0
